hour Quantity_in_hour U Delta_U Y Delta_Y Date
0 38 23.421197 1.674498 8.037109 1.925393 20190319
1 20 26.991983 1.506819 8.834994 1.73259 20190319
2 38 36.476585 1.909525 -8.038944 2.195634 20190319
3 18 7.528853 1.74674 -12.751194 2.008459 20190319
4 15 27.519183 2.262706 -35.040438 2.601733 20190319
5 15 12.145554 1.486981 -19.794186 1.70978 20190319
6 11 6.516754 2.479126 -55.253016 2.85058 20190319
7 6 -13.182304 2.43481 -27.519183 2.799624 20190319
8 22 -3.959616 1.758524 7.807716 2.022008 20190319
9 13 5.921181 1.103016 -13.764524 1.268284 20190319
10 19 47.765027 3.164946 17.197515 3.639158 20190319
11 13 6.440588 2.092057 18.662049 2.405515 20190319
12 11 -13.327011 2.883129 9.3474 3.315116 20190319
13 8 41.730552 2.071748 5.278851 2.382163 20190319
14 6 13.575357 1.674087 -39.288402 1.92492 20190319
15 21 -7.708464 2.539575 -35.87247 2.920087 20190319
16 20 34.807626 2.172276 -28.732187 2.497754 20190319
17 27 9.348658 2.356786 -4.774253 2.70991 20190319
18 35 -7.511179 1.750347 -1.528807 2.012607 20190319
19 24 12.380659 1.820065 -2.70854 2.092771 20190319
20 29 -9.209237 1.503464 2.449613 1.728732 20190319
21 21 -10.892702 1.708573 4.582627 1.964573 20190319
22 22 11.115965 1.485801 9.249159 1.708423 20190319
23 31 12.080097 0.865529 -4.862904 0.995214 20190319
