hour	Quantity_in_hour	U	Delta_U	Y	Delta_Y	Date
0	   31	   23.853423	   1.835123	   6.641632	   2.154959	   20190319
1	   19	   26.991983	   1.592382	   9.420138	   1.869911	   20190319
2	   38	   37.12993	   2.024247	   -9.216909	   2.377044	   20190319
3	   15	   7.528853	   1.949467	   -18.272741	   2.289231	   20190319
4	   15	   27.519183	   2.325758	   -35.040438	   2.731104	   20190319
5	   15	   16.722468	   1.682988	   -19.794186	   1.97631	   20190319
6	   11	   6.516754	   2.537564	   -55.253016	   2.979825	   20190319
7	   6	   -13.182304	   2.478479	   -27.519183	   2.910443	   20190319
8	   20	   -3.666506	   1.868043	   9.562536	   2.193617	   20190319
9	   13	   5.921181	   1.124166	   -13.764524	   1.320092	   20190319
10	   16	   52.553137	   3.378707	   4.68095	   3.967568	   20190319
11	   13	   6.440588	   2.14001	   18.662049	   2.512984	   20190319
12	   10	   -13.327011	   3.116587	   9.520639	   3.659765	   20190319
13	   7	   44.909964	   2.271684	   5.278851	   2.667607	   20190319
14	   6	   13.575357	   1.717885	   -39.288402	   2.017288	   20190319
15	   20	   -9.191252	   2.665744	   -35.87247	   3.130346	   20190319
16	   20	   34.807626	   2.234691	   -28.732187	   2.624167	   20190319
17	   25	   8.402843	   2.454734	   -4.774253	   2.882559	   20190319
18	   34	   -7.511179	   1.80266	   -0.031413	   2.116839	   20190319
19	   24	   12.380659	   1.864823	   -2.70854	   2.189835	   20190319
20	   27	   -9.314651	   1.569928	   2.977699	   1.843545	   20190319
21	   19	   -13.718394	   1.847303	   2.09858	   2.169262	   20190319
22	   21	   12.120898	   1.546979	   9.249159	   1.816595	   20190319
23	   27	   11.650421	   0.9436	   -4.833286	   1.108056	   20190319
