"time" "direct" "dist" "width" "length" "positive_frequency" "negative_frequency" "file"
590.95 5 228.448 53 53 51.0684 43.5897 "20190319"
775.296 1 248.582 58 52 49.7863 50.2137 "20190319"
816.355 3 235.747 55 50 54.4872 45.2991 "20190319"
845.777 5 182.742 40 46 44.4444 55.5556 "20190319"
973.037 3 200.248 45 51 45.1852 53.7037 "20190319"
11180.937 3 188.548 42 51 48.2906 51.4957 "20190319"
11438.738 1 209.282 47 53 46.5812 53.4188 "20190319"
11576.315 1 232.322 54 55 35.2564 64.1026 "20190319"
12043.811 7 210.642 48 52 52.1368 47.8632 "20190319"
12193.369 5 226.766 52 53 65.3846 34.6154 "20190319"
12193.759 5 226.781 52 52 61.1111 38.8889 "20190319"
12791.703 5 237.285 55 53 60.8974 39.1026 "20190319"
12791.937 5 237.619 55 55 53.2051 46.7949 "20190319"
13050.788 3 239.396 56 54 47.2222 52.7778 "20190319"
13540.655 1 226.872 52 52 49.1453 51.0684 "20190319"
13903.616 5 253.743 60 50 35.4701 64.5299 "20190319"
14101.689 7 226.022 52 52 49.5726 50.4274 "20190319"
14923.634 5 236.597 55 52 75.2137 25 "20190319"
15060.909 5 229.914 53 46 33.9744 58.3333 "20190319"
15301.696 1 202.58 45 53 35.8974 64.1026 "20190319"
15318.154 5 200.723 45 52 66.453 33.7607 "20190319"
15393.377 3 208.595 47 54 68.5897 31.4103 "20190319"
15393.767 3 208.811 47 54 59.188 40.5983 "20190319"
15657.761 3 212.81 48 54 44.6581 55.5556 "20190319"
15989.667 5 204.566 46 53 63.8889 36.1111 "20190319"
16056.654 3 225.167 52 52 56.1966 43.8034 "20190319"
16223.949 5 203.13 46 54 52.9915 46.7949 "20190319"
16224.183 5 202.88 46 53 51.7094 47.8632 "20190319"
16408.507 7 262.397 62 56 96.3675 48.9316 "20190319"
16409.553 7 263.028 62 54 34.4017 65.812 "20190319"
16544.025 7 233.814 54 53 50.4274 49.5726 "20190319"
17168.707 1 236.825 55 49 48.6486 51.1261 "20190319"
17938.392 3 188.875 42 54 59.8291 40.3846 "20190319"
17938.735 3 189.881 42 50 64.3162 35.6838 "20190319"
18391.287 3 222.809 51 53 66.453 33.547 "20190319"
18596.084 1 248.449 58 51 34.8485 64.3939 "20190319"
18618.299 1 196.697 44 53 49.5726 50.4274 "20190319"
18618.564 1 196.728 44 52 49.7863 50.2137 "20190319"
18625.35 5 263.373 62 53 101.19 34.7619 "20190319"
18833.059 1 257.886 61 53 36.4734 63.5266 "20190319"
18985.83 7 206.229 46 52 41.6667 58.3333 "20190319"
19475.151 3 215.765 49 53 41.453 58.7607 "20190319"
19503.122 7 215.054 49 53 47.8395 52.4691 "20190319"
19503.902 7 214.815 49 53 47.2222 52.7778 "20190319"
19504.682 7 215.005 49 53 47.4359 52.9915 "20190319"
20116.276 5 219.63 50 42 0 0 "20190319"
20199.533 5 255.927 60 51 61.5385 44.6581 "20190319"
20852.062 3 233.768 54 53 58.7607 41.2393 "20190319"
20852.296 3 233.882 54 52 57.598 42.402 "20190319"
21025.285 5 219.695 50 51 43.8596 55.848 "20190319"
21301.556 1 224.37 52 52 36.5591 63.9785 "20190319"
21542.608 7 187.003 41 53 44.0171 56.1966 "20190319"
21965.925 7 191.757 43 52 48.8739 51.1261 "20190319"
22075.64 3 202.58 45 53 61.0215 38.9785 "20190319"
22075.874 3 202.416 45 52 46.4646 54.0404 "20190319"
22125.279 3 212.537 48 53 61.3636 38.6364 "20190319"
22992.443 5 237.858 55 53 76.282 23.9316 "20190319"
23047.075 7 266.476 63 52 53.8462 46.1538 "20190319"
23141.392 7 182.51 40 53 56.1966 43.8034 "20190319"
23348.966 5 226.754 52 55 102.35 61.3248 "20190319"
23865.556 3 244.382 57 50 64.9573 35.4701 "20190319"
24315.238 1 243.634 57 52 38.2629 61.7371 "20190319"
24545.666 5 186.486 41 48 63.2479 36.7521 "20190319"
25082.676 7 201.623 45 54 58.7963 42.1296 "20190319"
25790.787 5 186.201 41 54 67.5214 32.6923 "20190319"
26216.304 3 214.994 49 54 52.3504 47.4359 "20190319"
26839.052 7 194.4 43 52 62.5 37.1212 "20190319"
27158.536 7 215.484 49 54 53.7037 45.679 "20190319"
27158.754 7 216.258 49 53 51.9231 47.8632 "20190319"
28763.8 5 197.818 44 52 49.5726 50.4274 "20190319"
29232.17 5 227.871 52 51 53.4188 46.5812 "20190319"
29292.199 3 264.224 63 60 37 63.3333 "20190319"
29905.509 7 219.437 50 52 35.9375 63.8021 "20190319"
30367.654 7 251.654 59 52 46.5278 53.8194 "20190319"
30447.027 7 266.446 63 53 50.2137 49.7863 "20190319"
30448.353 7 266.495 63 52 54.9145 45.0855 "20190319"
30448.587 7 266.605 63 52 49.5726 50.4274 "20190319"
30553.856 7 215.905 49 46 49.4048 50 "20190319"
30600.532 5 181.375 40 54 40.1709 59.8291 "20190319"
30600.766 5 181.329 40 54 40.1709 59.8291 "20190319"
30601.218 5 181.489 40 51 40.5983 59.4017 "20190319"
30711.505 3 236.901 55 53 49.6599 50.3401 "20190319"
31498.646 7 216.346 49 53 42.3077 57.6923 "20190319"
31499.255 7 216.433 49 53 50.8547 49.359 "20190319"
31960.418 3 231.103 53 53 32.265 67.9487 "20190319"
32128.461 1 227.358 52 53 59.8291 40.1709 "20190319"
32128.726 1 227.442 52 53 46.7949 53.2051 "20190319"
32128.96 1 228.216 53 52 45.8333 54.1667 "20190319"
32129.21 1 227.563 52 52 45.5128 54.4872 "20190319"
32244.229 7 213.805 49 54 52.3504 47.6496 "20190319"
34646.161 7 227.692 53 51 49.5614 50 "20190319"
34760.15 5 199.128 45 53 55.9829 44.0171 "20190319"
34858.415 7 214.735 49 53 52.1368 47.8632 "20190319"
34858.68 7 214.838 49 51 51.9231 48.0769 "20190319"
34979.138 7 217.306 50 53 43.3908 56.6092 "20190319"
34979.388 7 217.644 50 52 50.2137 50 "20190319"
34979.715 7 217.325 50 51 45.3901 53.9007 "20190319"
34979.949 7 217.644 50 53 42.9379 57.0622 "20190319"
34981.119 7 217.644 50 51 49.359 50.641 "20190319"
35459.354 5 216.649 49 53 58.3333 41.6667 "20190319"
35459.666 5 217.322 50 51 59.4017 40.5983 "20190319"
35886.696 5 202.204 45 53 42.2886 57.7114 "20190319"
35907.912 5 211.994 48 53 55.1282 44.6581 "20190319"
36494.92 5 246.16 58 52 49.5496 50.4504 "20190319"
37987.516 5 247.568 58 52 55.3419 44.6581 "20190319"
38238.27 3 244.397 57 53 62.1795 38.0342 "20190319"
38252.981 7 231.243 53 53 16.2393 70.5128 "20190319"
38253.247 7 231.642 54 57 17.094 82.4786 "20190319"
38254.073 7 231.251 54 61 18.8034 81.1966 "20190319"
38254.323 7 233.97 54 50 25 74.6914 "20190319"
38254.822 7 233.825 54 56 28.2051 72.0085 "20190319"
38255.103 7 234.216 54 57 29.2735 70.9402 "20190319"
38255.337 7 234.346 54 57 27.5641 72.2222 "20190319"
38255.618 7 234.304 54 54 25.3623 75.3623 "20190319"
38255.867 7 236.096 55 54 50.2137 49.7863 "20190319"
38256.71 7 235.424 55 53 37.7193 61.4035 "20190319"
38257.334 7 235.959 55 54 50 53.0864 "20190319"
38257.911 7 236.339 55 54 61.1111 42.3077 "20190319"
38447.404 5 183.778 40 48 39.5833 60.0694 "20190319"
38913.388 5 201.19 45 53 50 50 "20190319"
38913.606 5 201.79 45 52 49.5726 50.4274 "20190319"
39984.21 7 195.186 43 53 58.7607 41.2393 "20190319"
39984.663 7 195.209 43 52 51.9231 48.2906 "20190319"
